average,median,10th percentile,90th percentile,round_number
0.03133007784170575,0.031088917525773196,0.010288451525564927,0.05154639175257732,0
0.08011410336991732,0.08,0.041666666666666664,0.11827956989247312,10
0.12135570275105159,0.11854572554029597,0.07128571428571429,0.17204301075268819,20
0.16153362664990573,0.1614532420984034,0.09278350515463918,0.23336465184257227,30
0.196344824251801,0.18933962264150944,0.11063829787234043,0.2784724531648376,40
0.2314461151670454,0.22916666666666666,0.125,0.3267517136329018,50
0.25489532466276654,0.26152146464646464,0.1381522956326988,0.3647007955724662,60
0.2808586762075134,0.28426212590299277,0.15151515151515152,0.39,70
0.2990862060629502,0.3045031571950814,0.17681780859410637,0.40417690417690416,80
0.3176038292317362,0.32415674603174605,0.18301445578231296,0.4388003982080637,90
0.3355896146593821,0.34654631083202514,0.1949975111996018,0.46471647164716473,100
