num_correct,num_samples,loss,client_id,round_number
1,284,4.135368347167969,f0004_09,0
1,383,4.128343820571899,f0011_13,0
1,345,4.13006591796875,f0018_13,0
1,286,4.134040832519531,f0025_13,0
1,251,4.135601043701172,f0032_27,0
1,336,4.1358145872751875,f0039_14,0
1,387,4.1346918514796664,f0046_20,0
1,294,4.133335304260254,f0053_23,0
1,273,4.130586433410644,f0060_43,0
0,228,4.130059242248535,f0067_25,0
1,265,4.131343269348145,f0074_07,0
0,306,4.13227014541626,f0081_26,0
1,297,4.130894660949707,f0088_22,0
1,363,4.132680733998616,f0095_41,0
1,375,4.132834593454997,f0102_31,0
1,267,4.134721279144287,f0109_19,0
1,276,4.132182884216308,f0116_23,0
1,332,4.134988466898601,f0123_28,0
2,340,4.131565809249878,f0130_28,0
1,356,4.133420944213867,f0137_14,0
1,334,4.133251667022705,f0144_05,0
1,285,4.132830047607422,f0151_02,0
1,351,4.134460210800171,f0158_20,0
0,328,4.134592533111572,f0165_04,0
0,370,4.130449930826823,f0172_40,0
1,297,4.131085777282715,f0179_22,0
1,300,4.132898998260498,f0186_14,0
1,287,4.133399200439453,f0193_48,0
1,342,4.130959113438924,f0006_12,0
0,297,4.132660293579102,f0013_38,0
1,334,4.133403142293294,f0020_08,0
2,402,4.130011422293527,f0027_29,0
1,339,4.129104137420654,f0034_08,0
1,323,4.133420467376709,f0041_30,0
1,118,4.1248250007629395,f0048_00,0
1,336,4.129694700241089,f0055_09,0
0,351,4.13266118367513,f0062_25,0
1,342,4.133723020553589,f0069_14,0
0,308,4.134407806396484,f0076_06,0
0,288,4.1375219345092775,f0083_09,0
1,363,4.134046713511149,f0090_10,0
1,320,4.131444454193115,f0097_05,0
1,342,4.1324983437856035,f0104_43,0
0,319,4.133708763122558,f0111_36,0
1,368,4.1315999031066895,f0118_07,0
1,279,4.133461570739746,f0125_02,0
1,314,4.130455493927002,f0132_17,0
1,315,4.133723735809326,f0139_23,0
1,280,4.133844470977783,f0146_33,0
0,310,4.132544326782226,f0153_35,0
1,315,4.131040763854981,f0160_11,0
1,322,4.140122095743815,f0167_33,0
0,349,4.131460189819336,f0174_06,0
1,350,4.130627314249675,f0181_31,0
1,361,4.132567962010701,f0188_36,0
1,233,4.1304861307144165,f0195_27,0
0,316,4.1352893829345705,f0005_26,0
1,278,4.13502950668335,f0012_39,0
0,340,4.1302675406138105,f0019_38,0
1,327,4.135151386260986,f0026_17,0
1,304,4.132047080993653,f0033_49,0
1,338,4.126637935638428,f0040_25,0
1,356,4.130353530248006,f0047_00,0
1,386,4.127726486751011,f0054_14,0
1,321,4.150903542836507,f0061_45,0
2,317,4.13312349319458,f0068_00,0
1,285,4.128826522827149,f0075_46,0
1,277,4.131701374053955,f0082_40,0
1,332,4.131561120351155,f0089_16,0
1,360,4.132934093475342,f0096_45,0
1,321,4.134755849838257,f0103_28,0
1,384,4.132440090179443,f0110_48,0
1,338,4.133750756581624,f0117_11,0
1,332,4.129706144332886,f0124_11,0
0,271,4.130607795715332,f0131_03,0
1,263,4.129831790924072,f0138_30,0
1,300,4.131695079803467,f0145_33,0
1,203,4.128579616546631,f0152_02,0
1,357,4.131085236867269,f0159_14,0
0,279,4.132563877105713,f0166_12,0
1,307,4.132151317596436,f0173_00,0
0,336,4.132495403289795,f0180_29,0
1,373,4.13209080696106,f0187_18,0
1,314,4.131904220581054,f0194_30,0
1,344,4.13472048441569,f0000_14,0
0,338,4.131905237833659,f0007_14,0
