average,median,10th percentile,90th percentile,round_number
0.0023289665211062593,0.002770274418319111,0.0,0.0029991714995857496,0
0.06637554585152838,0.06754322171167895,0.05510752688172043,0.07762970226421821,1
0.06375545851528384,0.06745390119719279,0.05285288497190611,0.07419635459817729,2
0.11324599708879185,0.12740960157161274,0.0704953560371517,0.1409100829332169,3
0.0777292576419214,0.07604309165526676,0.058781362007168464,0.0963149978513107,4
0.24075691411935954,0.2497499791649304,0.1480185758513932,0.331263429308122,5
0.3621542940320233,0.3540814781160079,0.27936532507739936,0.44496391683831477,6
0.44192139737991265,0.39349057992346187,0.3048142414860681,0.5857816042558867,7
0.5228529839883551,0.49981245311327827,0.369063696484511,0.7167560718995896,8
0.550509461426492,0.5088229294165647,0.44518987341772154,0.6556473004192692,9
0.6270742358078603,0.5893663483603524,0.481423599025409,0.7731769482684528,10
