num_correct,num_samples,loss,client_id,round_number
5,252,3.709934949874878,c50f55b8,0
3,148,3.7006773153940835,ef3367d9,0
3,124,3.763258695602417,c120e80e,0
2,104,3.7361807823181152,72242187,0
1,102,3.5712748765945435,1dc86f91,0
2,101,3.6500465869903564,42a99aec,0
8,100,3.5547547340393066,d394ef8e,0
5,100,3.8608468770980835,e9abfe31,0
4,100,3.7898263931274414,cb62dbf1,0
3,99,3.6368942260742188,e4be0cf6,0
2,99,3.6834932565689087,7fb8d703,0
1,99,3.7284176349639893,ac9dee0e,0
1,98,3.6342893838882446,eaa83485,0
7,188,3.6690673828125,2aca1e72,0
2,144,4.093066215515137,b66f4f93,0
1,115,3.6625452041625977,98ea0818,0
0,104,3.7914955615997314,b69002d4,0
0,102,3.783719062805176,02ade946,0
3,101,3.797784209251404,fc3ba625,0
1,100,3.8200840950012207,fa57ab3b,0
3,100,3.5613415241241455,050170cb,0
3,100,3.871737241744995,a929f9b9,0
1,99,3.738530993461609,616420be,0
1,99,3.59494948387146,0f46028a,0
1,98,3.882241129875183,ec989d6d,0
5,98,3.7125219106674194,acfd5b5e,0
0,164,4.047162214914958,c1d39ce8,0
0,128,3.7081164121627808,de89e2ca,0
2,106,3.9254539012908936,bde0f20a,0
0,103,4.169109344482422,31f01a8d,0
1,102,3.735740542411804,81332c92,0
1,101,3.6775189638137817,578d3efb,0
1,100,3.6878596544265747,06f6c194,0
2,100,3.6611067056655884,4cee0c60,0
3,100,3.5662304162979126,d21fd169,0
1,99,3.6238954067230225,b528edb3,0
2,99,3.6837109327316284,113b3fbc,0
2,98,3.80039119720459,1e02ffc5,0
5,148,3.633859078089396,4c6167ca,0
3,126,3.639640212059021,4c6944d6,0
1,105,3.8036365509033203,ca4d5368,0
1,103,3.7130935192108154,3589bc72,0
4,102,3.632048726081848,69a1a79f,0
3,100,3.9521212577819824,c351e611,0
3,100,3.686100959777832,bdd22e4d,0
4,100,4.285527944564819,23da904f,0
0,99,3.780680775642395,72e382bd,0
0,99,3.9070993661880493,a1e71565,0
1,99,3.6882219314575195,525eaa62,0
2,98,3.716452717781067,f68160c0,0
3,210,3.5671775341033936,893705bb,0
1,146,4.277846495310466,5f9cd2eb,0
2,123,3.7136173248291016,25e95412,0
3,104,4.030654191970825,f822b9bf,0
2,102,4.103800654411316,fb8c31a9,0
4,101,3.8904917240142822,a7200079,0
5,100,3.5545915365219116,856eb138,0
3,100,3.767582058906555,1e9e6bdd,0
4,100,3.605074882507324,6ef407da,0
2,99,3.573402762413025,4e6902d0,0
0,99,4.12178909778595,bcf614a2,0
3,98,4.3565332889556885,fa52ddf6,0
3,98,3.8590283393859863,94d370bf,0
3,180,7.445829550425212,ddedba85,0
4,135,3.5915438334147134,b4ea0d9a,0
5,113,3.6712117195129395,bd76a7fd,0
0,104,3.8025639057159424,a04817c2,0
0,102,3.918195128440857,9be15e93,0
1,101,3.7821054458618164,ace072ba,0
1,100,3.80556058883667,472b8045,0
4,100,3.7696452140808105,d070ea86,0
1,100,3.675518035888672,a05a90c1,0
3,99,3.591735601425171,ed032775,0
2,99,3.695212960243225,cd671b5f,0
1,98,4.034663438796997,29dce108,0
4,177,3.626021067301432,b5cf6ea8,0
1,133,3.854462226231893,ab46af55,0
1,106,3.940315008163452,f035e2ea,0
2,103,4.016436338424683,d9aa8c90,0
2,102,3.9840009212493896,8fe67225,0
2,101,3.661103367805481,ccca5655,0
4,100,3.7659614086151123,6565a81d,0
2,100,3.8603897094726562,de3fe344,0
3,100,3.5673197507858276,a045368c,0
1,99,3.679168701171875,f5626af6,0
2,99,4.089064359664917,74241b28,0
6,98,3.563112497329712,f798ac78,0
1,200,3.5784311294555664,cce7416f,0
0,145,3.809939463933309,5ebc1cda,0
5,118,3.7700586318969727,57152045,0
