date,prec,tmean,tmax,tmin,qt
2003-10-01,0.00,2.05,3.30,0.80,0.07500
2003-10-02,0.40,-0.55,2.20,-3.30,0.07431
2003-10-03,1.00,-4.10,0.30,-8.50,0.07083
2003-10-04,9.00,-3.70,1.10,-8.50,0.07639
2003-10-05,1.20,-2.15,1.60,-5.90,0.08681
2003-10-06,1.80,-4.35,-1.70,-7.00,0.08264
2003-10-07,0.60,-7.05,-3.50,-10.60,0.08333
2003-10-08,0.00,-1.15,2.30,-4.60,0.08160
2003-10-09,1.60,2.25,3.50,1.00,0.07917
2003-10-10,0.00,0.55,4.20,-3.10,0.07500
2003-10-11,0.40,-0.10,3.60,-3.80,0.07292
2003-10-12,0.00,4.05,9.40,-1.30,0.07465
2003-10-13,0.00,11.10,12.80,9.40,0.07500
2003-10-14,0.00,10.20,12.20,8.20,0.07431
2003-10-15,0.00,7.30,10.30,4.30,0.07292
2003-10-16,0.00,7.25,10.30,4.20,0.07396
2003-10-17,0.20,7.75,11.20,4.30,0.07500
2003-10-18,0.20,4.95,6.80,3.10,0.07500
2003-10-19,3.80,2.95,6.10,-0.20,0.08229
2003-10-20,0.20,1.55,6.80,-3.70,0.08507
2003-10-21,0.00,2.70,5.50,-0.10,0.08507
2003-10-22,9.20,3.05,5.10,1.00,0.09097
2003-10-23,1.80,2.95,7.00,-1.10,0.12674
2003-10-24,0.20,10.35,13.70,7.00,0.12431
2003-10-25,3.40,8.15,10.90,5.40,0.11319
2003-10-26,0.00,11.50,17.70,5.30,0.11597
2003-10-27,0.00,8.10,13.10,3.10,0.11250
2003-10-28,0.80,4.05,5.40,2.70,0.10486
2003-10-29,0.00,1.65,4.10,-0.80,0.10208
2003-10-30,0.60,-1.30,-0.10,-2.50,0.09549
2003-10-31,2.60,0.05,2.90,-2.80,0.09479
2003-11-01,2.40,1.85,4.70,-1.00,0.11354
2003-11-02,1.60,1.15,3.80,-1.50,0.14097
2003-11-03,0.40,0.40,1.40,-0.60,0.12535
2003-11-04,2.40,-0.40,0.80,-1.60,0.11146
2003-11-05,0.40,-1.40,3.50,-6.30,0.12708
2003-11-06,0.20,1.45,7.80,-4.90,0.11528
2003-11-07,0.00,3.80,9.00,-1.40,0.10938
2003-11-08,1.80,7.00,10.20,3.80,0.10278
2003-11-09,17.20,1.75,7.20,-3.70,0.26875
2003-11-10,0.00,-0.15,5.50,-5.80,0.20000
2003-11-11,8.40,4.30,9.90,-1.30,0.13889
2003-11-12,5.20,4.25,9.10,-0.60,0.48958
2003-11-13,0.40,0.45,4.50,-3.60,0.24306
2003-11-14,12.00,-0.85,6.30,-8.00,0.28819
2003-11-15,1.80,1.80,8.10,-4.50,0.46007
2003-11-16,0.20,-0.10,3.60,-3.80,0.25625
2003-11-17,0.20,1.85,8.20,-4.50,0.18715
2003-11-18,0.40,1.10,4.10,-1.90,0.15833
2003-11-19,4.00,2.75,3.70,1.80,0.16528
2003-11-20,0.80,3.00,5.70,0.30,0.16597
2003-11-21,0.00,2.00,8.50,-4.50,0.15139
2003-11-22,0.60,0.30,4.80,-4.20,0.13507
2003-11-23,0.20,6.10,8.60,3.60,0.12813
2003-11-24,0.40,4.55,11.10,-2.00,0.16285
2003-11-25,4.00,4.00,10.20,-2.20,0.17917
2003-11-26,5.60,5.10,8.00,2.20,0.38125
2003-11-27,0.20,1.65,6.80,-3.50,0.28160
2003-11-28,5.00,7.50,9.70,5.30,0.21181
2003-11-29,17.40,6.45,9.70,3.20,1.22813
2003-11-30,0.00,4.35,10.40,-1.70,0.78958
2003-12-01,1.00,3.05,9.80,-3.70,0.34653
2003-12-02,3.00,7.80,10.10,5.50,0.32604
2003-12-03,0.00,6.80,9.90,3.70,0.30660
2003-12-04,0.20,4.30,10.10,-1.50,0.23160
2003-12-05,0.00,6.10,7.80,4.40,0.21458
2003-12-06,0.00,5.65,9.00,2.30,0.19097
2003-12-07,0.00,8.30,12.50,4.10,0.14896
2003-12-08,0.00,8.15,9.70,6.60,0.16181
2003-12-09,0.40,7.70,11.50,3.90,0.18889
2003-12-10,0.80,2.05,6.00,-1.90,0.19410
2003-12-11,0.00,2.85,9.80,-4.10,0.16458
2003-12-12,3.00,4.70,9.00,0.40,0.15139
2003-12-13,0.60,3.25,9.70,-3.20,0.18854
2003-12-14,2.40,4.55,13.20,-4.10,0.16493
2003-12-15,0.00,4.00,12.20,-4.20,0.13785
2003-12-16,1.40,3.35,14.60,-7.90,0.15278
2003-12-17,0.00,6.05,15.90,-3.80,0.16701
2003-12-18,0.00,4.20,12.80,-4.40,0.15069
2003-12-19,0.00,8.45,15.10,1.80,0.13854
2003-12-20,16.60,7.85,14.60,1.10,0.13194
2003-12-21,5.00,6.70,16.20,-2.80,0.29097
2003-12-22,1.40,8.75,18.30,-0.80,0.23750
2003-12-23,4.40,7.30,14.10,0.50,1.09097
2003-12-24,1.60,5.65,13.20,-1.90,2.07153
2003-12-25,3.20,7.55,13.60,1.50,0.90313
2003-12-26,0.80,8.10,17.50,-1.30,0.59132
2003-12-27,2.60,8.10,13.70,2.50,0.53056
2003-12-28,8.60,5.50,9.90,1.10,0.47188
2003-12-29,0.20,5.80,14.20,-2.60,0.37014
2003-12-30,0.00,6.70,9.60,3.80,0.60903
2003-12-31,0.00,5.50,8.30,2.70,0.90000
2004-01-01,10.80,9.50,14.40,4.60,0.43264
