,id,order_id,order_val,order_datetime,restaurant_name
0,1,R117QOON3P3,21.75,2022-07-13 17:59:00,Arriverderci
1,2,RPORN0150P3,31.75,2022-07-03 11:16:00,Broodje Ben
2,3,RPNO1NQ0Q53,39.54,2022-06-24 15:36:00,Sonmat
3,4,R3RNQ513P53,41.4,2022-06-17 15:31:00,Domino's Pizza
4,5,R1QQO533553,11.95,2022-06-13 10:40:00,Panino Fresco
5,6,OQ05R7P3153,33.0,2022-05-29 19:27:00,Arriverderci
6,7,OQ07POQ07O3,34.25,2022-05-14 18:24:00,Taj Mahal Indiaas Restaurant
7,8,OQ11NPR1PO3,16.0,2022-05-11 12:07:00,Broodje Ben
8,9,35O0RQNO0O3,11.95,2022-04-20 11:20:00,Panino Fresco
9,10,37155PPPR33,17.7,2022-04-17 14:15:00,Domino's Pizza
10,11,3QQ31QRRQ33,17.25,2022-04-14 19:18:00,Nikos
11,12,3N73311R733,23.24,2022-04-10 17:06:00,Sonmat
12,13,3Q5NP3O1733,12.15,2022-04-08 12:01:00,Panino Fresco
13,14,33773O70533,11.95,2022-04-01 12:03:00,Panino Fresco
14,15,30ORN700RN3,31.25,2022-03-10 19:54:00,Itoshii HC
15,16,0OP1OP151RN,27.75,2021-11-09 19:17:00,Kashmir kitchen
16,17,O3R7QN7POQN,18.75,2021-10-17 19:26:00,Arriverderci oud
17,18,ON350Q1ONQN,38.69,2021-10-10 14:22:00,'t Sluisje Burgers & Spareribs
18,19,OPR1NPN71QN,10.45,2021-10-08 12:10:00,Panino Fresco
19,20,OQ30NR3P77N,19.15,2021-09-24 12:28:00,Eazie voorstraat utrecht
20,21,ONQ0ONO757N,24.45,2021-09-17 14:14:00,Burgerme
21,22,O7RNPQ1P57N,20.75,2021-09-16 19:21:00,Namaskar
22,23,O7330ON3O7N,21.0,2021-09-11 20:03:00,Namaskar
23,24,OR5311QO17N,21.75,2021-09-01 17:25:00,Restaurant Thai Chili
24,25,O7737P01QPN,17.25,2021-08-20 18:51:00,Chinees Catering
25,26,ORROO5PNPPN,17.49,2021-08-13 20:12:00,Papa John's
26,27,O0100N7R5PN,21.05,2021-08-12 19:34:00,Eazie
27,28,OQN770PO5PN,20.35,2021-08-10 18:51:00,Fu Wah
28,29,O1PRQO3N0PN,14.25,2021-07-23 19:08:00,Eazie
29,30,ONP005P3P5N,27.9,2021-07-09 18:38:00,Atithi
30,31,O0R57700P5N,13.24,2021-07-08 16:47:00,New York Pizza
31,32,ON57N7NR35N,16.75,2021-07-01 12:57:00,Eazie
32,33,ORP771R35ON,17.35,2021-06-01 16:56:00,De Ark Grillburgers
33,34,O55513PP1ON,17.2,2021-05-20 18:53:00,Bombay Corner
34,35,O00701NQR3N,21.35,2021-05-14 17:51:00,Eazie
35,36,ORQQNPQR73N,19.75,2021-05-08 18:31:00,Delftse Panda
36,37,O5NQRPQ7P3N,32.5,2021-05-04 19:28:00,India Garden
37,38,OOO3P53OO3N,14.7,2021-04-27 19:00:00,De Ark Grillburgers
38,39,ONO1OPRNN3N,20.25,2021-04-20 18:25:00,Delftse Panda
39,40,ON5PQ00R03N,14.95,2021-04-16 12:15:00,De Ark Grillburgers
40,41,OOP1N37103N,20.25,2021-04-13 16:39:00,Delftse Panda
41,42,O3711NQ15NN,20.45,2021-03-27 19:49:00,Eazie
42,43,OO757N05ONN,20.25,2021-03-25 19:46:00,De Ark Grillburgers
43,44,ONR700133NN,14.55,2021-03-21 15:35:00,De Ark Grillburgers
44,45,O5NNOQQ3NNN,30.5,2021-03-18 17:57:00,Pavarotti
45,46,OR0P1RR371N,16.35,2021-03-01 12:45:00,De Ark Grillburgers
46,47,OOPNP0OOP1N,29.65,2021-02-26 18:15:00,Eazie
47,48,OORO50R1P1N,15.25,2021-02-25 19:29:00,Eazie
