num_correct,num_samples,loss,client_id,round_number
10,210,3.544822931289673,893705bb,0
8,188,3.547074317932129,2aca1e72,0
4,177,3.5401044686635337,b5cf6ea8,0
7,148,3.5546065966288247,4c6167ca,0
4,146,3.5474159717559814,5f9cd2eb,0
8,252,3.541442632675171,c50f55b8,0
5,200,3.553185820579529,cce7416f,0
8,180,3.5399932066599527,ddedba85,0
7,164,3.5506929556528726,c1d39ce8,0
3,148,3.546185572942098,ef3367d9,0
11,210,3.5095402002334595,893705bb,1
8,188,3.5420068899790444,2aca1e72,1
4,177,3.5321127573649087,b5cf6ea8,1
7,148,3.5471386114756265,4c6167ca,1
8,146,3.5274075667063394,5f9cd2eb,1
8,252,3.5370777249336243,c50f55b8,1
8,200,3.522963225841522,cce7416f,1
9,180,3.489389737447103,ddedba85,1
7,164,3.5425778230031333,c1d39ce8,1
5,148,3.543048540751139,ef3367d9,1
12,210,3.4996784329414368,893705bb,2
8,188,3.5148834387461343,2aca1e72,2
7,177,3.52750563621521,b5cf6ea8,2
7,148,3.545522133509318,4c6167ca,2
11,146,3.4120278358459473,5f9cd2eb,2
8,252,3.5339378714561462,c50f55b8,2
8,200,3.4909054040908813,cce7416f,2
9,180,3.49250062306722,ddedba85,2
7,164,3.5409367084503174,c1d39ce8,2
7,148,3.5344460010528564,ef3367d9,2
19,210,3.486814498901367,893705bb,3
9,188,3.4668098290761313,2aca1e72,3
11,177,3.484833319981893,b5cf6ea8,3
7,148,3.545217990875244,4c6167ca,3
8,146,3.3807990550994873,5f9cd2eb,3
8,252,3.532544493675232,c50f55b8,3
41,200,3.057239294052124,cce7416f,3
22,180,3.2294232845306396,ddedba85,3
9,164,3.5384748776753745,c1d39ce8,3
7,148,3.479005734125773,ef3367d9,3
53,210,3.0821258425712585,893705bb,4
9,188,3.4553422927856445,2aca1e72,4
10,177,3.4734651247660318,b5cf6ea8,4
5,148,3.5457023779551187,4c6167ca,4
39,146,2.9043238162994385,5f9cd2eb,4
8,252,3.532408118247986,c50f55b8,4
81,200,2.2727269530296326,cce7416f,4
27,180,3.194772640864054,ddedba85,4
5,164,3.5116416613260903,c1d39ce8,4
16,148,3.4572957356770835,ef3367d9,4
60,210,2.803630292415619,893705bb,5
12,188,3.45872163772583,2aca1e72,5
31,177,3.0890019734700522,b5cf6ea8,5
12,148,3.5277915795644126,4c6167ca,5
33,146,2.987092892328898,5f9cd2eb,5
13,252,3.5311484932899475,c50f55b8,5
106,200,1.9558262825012207,cce7416f,5
43,180,2.805836280186971,ddedba85,5
6,164,3.5156916777292886,c1d39ce8,5
17,148,3.449848175048828,ef3367d9,5
92,210,2.3478827476501465,893705bb,6
12,188,3.4568132559458413,2aca1e72,6
77,177,2.4228493372599282,b5cf6ea8,6
9,148,3.5345518589019775,4c6167ca,6
46,146,2.5960703690846763,5f9cd2eb,6
8,252,3.530901253223419,c50f55b8,6
146,200,1.4679003953933716,cce7416f,6
28,180,3.100651264190674,ddedba85,6
7,164,3.5203986167907715,c1d39ce8,6
37,148,2.9410075346628823,ef3367d9,6
116,210,2.0426804423332214,893705bb,7
25,188,3.2094038327534995,2aca1e72,7
49,177,2.548567056655884,b5cf6ea8,7
29,148,3.177498976389567,4c6167ca,7
34,146,2.7317616939544678,5f9cd2eb,7
13,252,3.530554711818695,c50f55b8,7
177,200,0.9169915467500687,cce7416f,7
29,180,3.2370986938476562,ddedba85,7
7,164,3.5192110538482666,c1d39ce8,7
76,148,2.3457798957824707,ef3367d9,7
95,210,2.2007723450660706,893705bb,8
58,188,2.604917526245117,2aca1e72,8
104,177,1.7216638326644897,b5cf6ea8,8
25,148,3.143573760986328,4c6167ca,8
69,146,2.2720499833424888,5f9cd2eb,8
16,252,3.5242624282836914,c50f55b8,8
162,200,1.0431363582611084,cce7416f,8
38,180,2.8943369388580322,ddedba85,8
6,164,3.522218624750773,c1d39ce8,8
72,148,2.31750750541687,ef3367d9,8
16,252,3.5370433926582336,c50f55b8,9
132,200,1.5014123320579529,cce7416f,9
74,180,2.0915350914001465,ddedba85,9
6,164,3.525085131327311,c1d39ce8,9
76,148,1.842130978902181,ef3367d9,9
124,210,1.8599319756031036,893705bb,9
37,188,2.9273879528045654,2aca1e72,9
89,177,2.0535641511281333,b5cf6ea8,9
57,148,2.3939783573150635,4c6167ca,9
86,146,1.7918552954991658,5f9cd2eb,9
64,252,2.920492708683014,c50f55b8,10
174,200,0.8952170759439468,cce7416f,10
52,180,2.5367202758789062,ddedba85,10
6,164,3.5257791678110757,c1d39ce8,10
77,148,1.7414327065149944,ef3367d9,10
143,210,1.5523435473442078,893705bb,10
39,188,2.959689458211263,2aca1e72,10
95,177,1.60483713944753,b5cf6ea8,10
36,148,2.5965569814046225,4c6167ca,10
76,146,2.064781904220581,5f9cd2eb,10
